label,B,tau_in,tau_out,recycle,mp,estimate,stdErr,relErr,totalTime,hostTime,deviceTime,steps,fp64Ratio,recycles,avgWalkLen
DG_B4,4,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.496989,0.000779837,0.494975,3532,1,369,17.0039
DG_B8,8,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.287917,0.000620943,0.28639,2075,1,222,17.0039
DG_B16,16,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.164841,0.000510963,0.163813,1167,1,128,17.0039
DG_B32,32,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.0905695,0.000413531,0.0897881,642,1,71,17.0039
DG_B64,64,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.0506212,0.000362766,0.0500188,353,1,40,17.0039
DG_B128,128,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.0292246,0.000323299,0.0286711,196,1,23,17.0039
DG_B256,256,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.160915,0.000438043,0.160067,1150,1,112,17.0039
MP_0.3/0.1,64,0.3,0.1,0,1,0.320689,0.0288974,0.0689617,0.0125167,0.000752209,0.0116471,57,0.410521,0,17.0039
MP_0.5/0.2,64,0.5,0.2,0,1,0.320689,0.0288974,0.0689617,0.0124207,0.0007599,0.0115499,57,0.432346,0,17.0039
MP_0.7/0.4,64,0.7,0.4,0,1,0.320689,0.0288974,0.0689617,0.012472,0.000753015,0.0116124,57,0.454514,0,17.0039
MP_0.9/0.6,64,0.9,0.6,0,1,0.320689,0.0288974,0.0689617,0.0124355,0.000770247,0.0115633,57,0.499541,0,17.0039
MP_0.95/0.8,64,0.95,0.8,0,1,0.320689,0.0288974,0.0689617,0.0124457,0.000756691,0.0115869,57,0.499885,0,17.0039
Baseline,64,0.5,0.2,0,0,0.320689,0.0288974,0.0689617,0.0124284,0.000753997,0.0116117,57,1,0,17.0039
DG,64,0.5,0.2,1,0,0.320688,0.0288974,0.0689606,0.0505993,0.000362894,0.0500011,353,1,40,17.0039
MP,64,0.5,0.2,0,1,0.320689,0.0288974,0.0689617,0.0125478,0.000770834,0.011666,57,0.432346,0,17.0039
DG+MP,64,0.5,0.2,1,1,0.320688,0.0288974,0.0689606,0.050936,0.00036354,0.0503195,353,0.432346,40,17.0039
